STATE,name,entryType,startTime,duration,initiatorType,nextHopProtocol,workerStart,redirectStart,redirectEnd,fetchStart,domainLookupStart,domainLookupEnd,connectStart,connectEnd,secureConnectionStart,requestStart,responseStart,responseEnd,transferSize,encodedBodySize,decodedBodySize,serverTiming
SW was stopped,https://nonimportscript.surge.sh/network.json,resource,15210.100000000239,1267.6999999966938,fetch,,15214.399999997113,0,0,15214.399999997113,15214.399999997113,15214.399999997113,15214.399999997113,15214.399999997113,0,15214.399999997113,16467.69999999742,16477.799999996932,0,31522,31522,
SW was awake,https://nonimportscript.surge.sh/network.json,resource,16677.79999999766,157.50000000116415,fetch,,16679.89999999918,0,0,16679.89999999918,16679.89999999918,16679.89999999918,16679.89999999918,16679.89999999918,0,16679.89999999918,16829.299999997602,16835.299999998824,0,31522,31522,
SW was stopped,https://nonimportscript.surge.sh/network.json,resource,16850.399999999354,130.30000000071595,fetch,,16853.99999999936,0,0,16853.99999999936,16853.99999999936,16853.99999999936,16853.99999999936,16853.99999999936,0,16853.99999999936,16974.79999999996,16980.70000000007,0,31522,31522,
SW was awake,https://nonimportscript.surge.sh/network.json,resource,17199.19999999911,92.89999999964493,fetch,,17201.599999996688,0,0,17201.599999996688,17201.599999996688,17201.599999996688,17201.599999996688,17201.599999996688,0,17201.599999996688,17288.59999999986,17292.099999998754,0,31522,31522,
SW was stopped,https://nonimportscript.surge.sh/network.json,resource,17299.999999999272,313.79999999990105,fetch,,17302.599999999074,0,0,17302.599999999074,17302.599999999074,17302.599999999074,17302.599999999074,17302.599999999074,0,17302.599999999074,17605.70000000007,17613.799999999173,0,31522,31522,
SW was awake,https://nonimportscript.surge.sh/network.json,resource,17917.39999999845,126.19999999878928,fetch,,17921.09999999957,0,0,17921.09999999957,17921.09999999957,17921.09999999957,17921.09999999957,17921.09999999957,0,17921.09999999957,18037.499999998545,18043.59999999724,0,31522,31522,
SW was stopped,https://nonimportscript.surge.sh/network.json,resource,18053.59999999928,146.19999999922584,fetch,,18056.99999999706,0,0,18056.99999999706,18056.99999999706,18056.99999999706,18056.99999999706,18056.99999999706,0,18056.99999999706,18194.70000000001,18199.799999998504,0,31522,31522,
SW was awake,https://nonimportscript.surge.sh/network.json,resource,18420.59999999765,101.00000000238651,fetch,,18423.99999999907,0,0,18423.99999999907,18423.99999999907,18423.99999999907,18423.99999999907,18423.99999999907,0,18423.99999999907,18515.400000000227,18521.600000000035,0,31522,31522,
SW was stopped,https://nonimportscript.surge.sh/network.json,resource,18532.899999998335,117.39999999917927,fetch,,18536.79999999804,0,0,18536.79999999804,18536.79999999804,18536.79999999804,18536.79999999804,18536.79999999804,0,18536.79999999804,18643.00000000003,18650.299999997515,0,31522,31522,
SW was awake,https://nonimportscript.surge.sh/network.json,resource,18840.49999999843,101.90000000147847,fetch,,18843.199999999342,0,0,18843.199999999342,18843.199999999342,18843.199999999342,18843.199999999342,18843.199999999342,0,18843.199999999342,18935.999999997875,18942.399999999907,0,31522,31522,
