STATE,is,e_is,ofv,mbv,pc,ol
SW was stopped,371.3999999999942,440.5000000006112,459.9999999991269,481.40000000057626,2759.5000000001164,2759.9000000009255
SW was awake,388.9999999992142,448.09999999779393,473.2000000003609,490.69999999846914,1497.4999999976717,1499.7999999977765
SW was stopped,386.3999999994121,447.59999999951106,468.0999999982305,484.39999999754946,1478.6999999996624,1479.4999999976426
SW was awake,316.2000000011176,391.9000000023516,424.50000000098953,441.5000000008149,1002.9000000031374,1110.3000000002794
SW was stopped,304.19999999867287,382.6999999982945,400.59999999721185,421.49999999674037,1002.5999999998021,1474.899999997433
SW was awake,346.6999999982363,396.49999999892316,415.0000000008731,431.79999999847496,1960.9999999993306,3053.70000000039
SW was stopped,362.9000000000815,419.30000000138534,453.2000000035623,469.30000000065775,1045.1000000030035,1299.6000000021013
SW was awake,351.9000000014785,409.70000000015716,427.6000000027125,443.3000000026368,873.9999999997963,1054.5000000020082
SW was stopped,356.40000000057626,415.69999999774154,440.69999999919673,461.29999999902793,977.5000000008731,1196.4000000007218
SW was awake,409.1000000007625,463.9999999999418,484.00000000037835,502.6000000034401,2626.70000000071,2718.800000002375
SW was stopped,300.6999999997788,359.599999999773,378.6000000000058,398.69999999791617,2463.2999999994354,2643.7999999980093
SW was awake,294.0999999991618,381.9999999977881,401.5999999974156,419.0999999991618,1809.399999998277,2626.4999999984866
SW was stopped,459.69999999942956,538.9999999970314,558.6000000002969,574.9999999970896,2597.799999999552,2598.2999999978347
SW was awake,424.299999998766,480.79999999754364,504.99999999738066,533.7999999974272,2098.7999999997555,2181.8999999995867
SW was stopped,954.7000000020489,1017.5000000017462,1035.4000000006636,1053.5000000018044,2905.800000000454,3071.700000000419
SW was awake,400.20000000004075,453.19999999992433,473.5000000000582,491.8999999972584,1977.1999999975378,2205.599999997503
SW was stopped,318.20000000152504,373.1000000007043,393.19999999861466,415.0000000008731,1514.4000000000233,1514.9000000019441
SW was awake,288.49999999874854,335.39999999993597,354.4000000001688,372.29999999908614,1822.4000000009255,2058.000000000902
SW was stopped,439.09999999959837,495.6999999994878,523.3999999982188,540.6999999977415,2195.499999997992,2196.1000000010245
SW was awake,381.1999999998079,437.0999999991909,456.79999999993015,472.99999999813735,1546.5000000003783,1678.1000000009954
SW was stopped,419.7999999996682,482.59999999936554,513.2999999987078,529.8000000002503,2869.299999998475,3016.4999999979045
SW was awake,323.30000000001746,394.1999999988184,414.4000000014785,431.3000000001921,4920.69999999876,4921.299999998155
SW was stopped,433.7999999988824,497.29999999908614,516.9999999998254,534.8000000012689,2081.900000001042,2251.70000000071
SW was awake,431.8999999995867,475.29999999824213,494.0999999998894,511.0999999997148,2348.3999999989464,2348.999999998341
SW was stopped,411.7999999980384,466.79999999832944,502.4999999986903,520.5999999998312,1665.0000000008731,2070.800000001327
SW was awake,380.9000000001106,444.70000000001164,465.59999999954016,483.4000000009837,1886.5000000005239,1886.9999999988067
SW was stopped,369.0999999998894,426.1999999980617,445.49999999799184,468.3999999979278,1230.4000000003725,1380.0999999984924
SW was awake,303.70000000039,369.5000000006985,391.8999999987136,411.59999999945285,1839.80000000156,1840.4000000009546
SW was stopped,365.4999999998836,429.8999999991793,450.49999999901047,473.0999999992491,1309.0999999985797,1443.2999999989988
SW was awake,420.5000000001746,478.19999999774154,498.29999999928987,515.6999999999243,947.0999999975902,1391.9999999998254
SW was stopped,453.6000000007334,504.20000000303844,522.4000000016531,538.0000000004657,1460.0000000027649,1460.6000000021595
SW was awake,291.00000000107684,368.20000000079744,387.39999999961583,407.6999999997497,1417.7999999992608,1418.600000000879
SW was stopped,390.60000000245054,458.20000000094296,481.2999999994645,503.2000000028347,2203.9000000004307,2204.9000000006345
SW was awake,383.3999999988009,444.5000000014261,462.8999999986263,480.199999998149,1059.1999999996915,1198.4000000011292
SW was stopped,365.7999999995809,418.60000000087894,444.70000000001164,460.10000000023865,1381.0999999986961,1381.600000000617
SW was awake,495.9999999991851,541.0999999985506,576.7000000014377,598.0000000017753,2010.2000000006228,2039.4000000014785
SW was stopped,474.79999999995925,533.2999999991443,552.400000000489,568.9999999995052,1311.7999999994936,1454.0999999990163
SW was awake,435.3999999984808,482.19999999855645,502.3000000001048,520.0000000004366,1717.7999999985332,1978.8000000007742
SW was stopped,371.90000000191503,434.8000000027241,472.1000000026834,494.2000000010012,1983.5999999995693,1985.899999999674
SW was awake,426.7999999974563,472.8999999970256,498.8999999986845,513.8999999981024,1039.3999999978405,1203.3999999985099
SW was stopped,317.10000000020955,388.30000000234577,409.70000000015716,425.20000000149594,1328.300000001036,1534.9000000023807
SW was awake,362.9000000000815,435.6999999981781,459.80000000054133,475.6999999990512,1095.6999999980326,1096.1999999999534
SW was stopped,320.9000000024389,369.5000000006985,387.0000000024447,402.40000000267173,1248.700000000099,1249.3000000031316
SW was awake,283.899999998539,330.29999999780557,348.69999999864376,363.9000000002852,1360.3000000002794,1361.2999999968451
SW was stopped,390.400000000227,437.0000000017171,456.79999999993015,472.20000000015716,860.3000000002794,1410.600000002887
SW was awake,403.6999999989348,457.89999999760767,475.6999999990512,491.0999999992782,1057.7999999986787,1247.5999999987835
SW was stopped,401.1999999966065,467.09999999802676,484.8999999994703,500.4999999982829,1158.49999999773,1510.8000000000175
SW was awake,348.0999999992491,403.2999999981257,427.9999999998836,447.0999999975902,1887.299999998504,1925.2999999989697
SW was stopped,397.89999999993597,447.99999999668216,465.7999999981257,483.0999999976484,1852.4999999972351,1853.399999999965
SW was awake,397.4000000016531,449.7000000010303,473.39999999894644,489.49999999967986,1176.8000000010943,1342.899999999645
SW was stopped,381.09999999869615,430.29999999998836,449.09999999799766,465.4000000009546,1925.6999999997788,1962.7000000000407
SW was awake,369.0999999998894,430.899999999383,450.700000001234,467.10000000166474,978.9999999993597,990.6999999984691
SW was stopped,425.7000000034168,469.9000000000524,494.700000002922,511.000000002241,1221.7000000018743,1366.8000000034226
SW was awake,337.5000000014552,390.99999999962165,409.8000000012689,425.3000000026077,932.0000000006985,1058.100000002014
SW was stopped,429.29999999978463,497.4000000001979,516.8999999987136,541.7000000015832,1079.0999999990163,1079.9999999981083
SW was awake,394.29999999993015,445.80000000132713,467.3000000002503,483.5000000020955,974.5000000002619,1127.1000000015192
SW was stopped,360.5999999999767,409.8000000012689,428.70000000039,443.90000000203145,931.5999999998894,1063.3000000016182
SW was awake,348.9000000008673,396.19999999922584,415.30000000057044,431.3000000001921,1374.4000000006054,1514.100000000326
SW was stopped,380.5999999967753,430.899999999383,449.49999999880674,464.99999999650754,1424.9999999992724,1557.699999997567
SW was awake,299.19999999765423,361.19999999937136,382.6999999982945,401.99999999822467,883.5999999973865,884.8999999972875
SW was stopped,377.00000000040745,426.8999999985681,445.70000000021537,467.79999999853317,1220.1999999997497,1221.6000000007625
SW was awake,380.4999999993015,434.9000000001979,453.90000000043074,469.70000000146683,1221.6999999982363,1373.8999999986845
SW was stopped,337.9000000022643,401.7999999996391,425.8000000008906,446.89999999900465,1320.8000000013271,1458.6999999992258
SW was awake,493.99999999877764,575.0000000007276,605.4000000003725,623.8999999986845,1118.2999999982712,1335.1999999977124
SW was stopped,421.7000000026019,472.700000002078,493.20000000079744,512.6999999993131,2580.600000001141,3115.4999999998836
SW was awake,465.7000000006519,526.6999999985273,545.3000000015891,560.4999999995925,1718.1999999993423,1719.0000000009604
SW was stopped,408.8000000010652,468.300000000454,487.00000000098953,503.7000000011176,1290.7000000013795,1301.2999999991735
SW was awake,342.79999999853317,412.4999999985448,430.79999999827123,447.7999999980966,1425.6999999997788,1426.5999999988708
