STATE,name,entryType,startTime,duration,initiatorType,nextHopProtocol,workerStart,redirectStart,redirectEnd,fetchStart,domainLookupStart,domainLookupEnd,connectStart,connectEnd,secureConnectionStart,requestStart,responseStart,responseEnd,transferSize,encodedBodySize,decodedBodySize,serverTiming
SW was awake,https://nonimportscript.surge.sh/cache.json,resource,5391.599999999016,12.09999999991851,fetch,,5392.899999998917,0,0,5392.899999998917,5392.899999998917,5392.899999998917,5392.899999998917,5392.899999998917,0,5392.899999998917,5400.799999999435,5403.699999998935,0,31522,31522,
SW was stopped,https://nonimportscript.surge.sh/cache.json,resource,5407.999999999447,11.699999999109423,fetch,,5409.299999999348,0,0,5409.299999999348,5409.299999999348,5409.299999999348,5409.299999999348,5409.299999999348,0,5409.299999999348,5416.799999999057,5419.699999998556,0,31522,31522,
SW was awake,https://nonimportscript.surge.sh/cache.json,resource,5508.399999998801,12.599999998201383,fetch,,5509.699999998702,0,0,5509.699999998702,5509.699999998702,5509.699999998702,5509.699999998702,5509.699999998702,0,5509.699999998702,5517.499999998108,5520.999999997002,0,31522,31522,
SW was stopped,https://nonimportscript.surge.sh/cache.json,resource,5525.900000000547,12.99999999901047,fetch,,5527.299999997922,0,0,5527.299999997922,5527.299999997922,5527.299999997922,5527.299999997922,5527.299999997922,0,5527.299999997922,5535.599999999249,5538.899999999558,0,31522,31522,
SW was awake,https://nonimportscript.surge.sh/cache.json,resource,5631.199999999808,12.500000000727596,fetch,,5632.599999997183,0,0,5632.599999997183,5632.599999997183,5632.599999997183,5632.599999997183,5632.599999997183,0,5632.599999997183,5640.699999999924,5643.7000000005355,0,31522,31522,
SW was stopped,https://nonimportscript.surge.sh/cache.json,resource,5648.199999999633,11.399999999412103,fetch,,5649.599999997008,0,0,5649.599999997008,5649.599999997008,5649.599999997008,5649.599999997008,5649.599999997008,0,5649.599999997008,5656.599999998434,5659.599999999045,0,31522,31522,
SW was awake,https://nonimportscript.surge.sh/cache.json,resource,5747.699999999895,12.899999997898703,fetch,,5748.999999999796,0,0,5748.999999999796,5748.999999999796,5748.999999999796,5748.999999999796,5748.999999999796,0,5748.999999999796,5757.599999997183,5760.599999997794,0,31522,31522,
SW was stopped,https://nonimportscript.surge.sh/cache.json,resource,5765.10000000053,11.599999997997656,fetch,,5766.400000000431,0,0,5766.400000000431,5766.400000000431,5766.400000000431,5766.400000000431,5766.400000000431,0,5766.400000000431,5773.499999999331,5776.699999998527,0,31522,31522,
SW was awake,https://nonimportscript.surge.sh/cache.json,resource,5866.20000000039,14.299999998911517,fetch,,5867.500000000291,0,0,5867.500000000291,5867.500000000291,5867.500000000291,5867.500000000291,5867.500000000291,0,5867.500000000291,5877.000000000407,5880.4999999993015,0,31522,31522,
SW was stopped,https://nonimportscript.surge.sh/cache.json,resource,5886.899999997695,13.800000000628643,fetch,,5888.39999999982,0,0,5888.39999999982,5888.39999999982,5888.39999999982,5888.39999999982,5888.39999999982,0,5888.39999999982,5896.7999999986205,5900.699999998324,0,31522,31522,
SW was awake,https://nonimportscript.surge.sh/cache.json,resource,5993.899999997666,12.500000000727596,fetch,,5995.299999998679,0,0,5995.299999998679,5995.299999998679,5995.299999998679,5995.299999998679,5995.299999998679,0,5995.299999998679,6003.399999997782,6006.3999999983935,0,31522,31522,
SW was stopped,https://nonimportscript.surge.sh/cache.json,resource,6011.500000000524,11.79999999658321,fetch,,6012.699999999313,0,0,6012.699999999313,6012.699999999313,6012.699999999313,6012.699999999313,6012.699999999313,0,6012.699999999313,6020.300000000134,6023.299999997107,0,31522,31522,
SW was awake,https://nonimportscript.surge.sh/cache.json,resource,6112.699999997858,12.39999999961583,fetch,,6114.099999998871,0,0,6114.099999998871,6114.099999998871,6114.099999998871,6114.099999998871,6114.099999998871,0,6114.099999998871,6121.999999999389,6125.099999997474,0,31522,31522,
SW was stopped,https://nonimportscript.surge.sh/cache.json,resource,6129.999999997381,11.900000001332955,fetch,,6131.499999999505,0,0,6131.499999999505,6131.499999999505,6131.499999999505,6131.499999999505,6131.499999999505,0,6131.499999999505,6138.299999998708,6141.899999998714,0,31522,31522,
SW was awake,https://nonimportscript.surge.sh/cache.json,resource,6237.299999997049,12.600000001839362,fetch,,6238.699999998062,0,0,6238.699999998062,6238.699999998062,6238.699999998062,6238.699999998062,6238.699999998062,0,6238.699999998062,6246.799999997165,6249.899999998888,0,31522,31522,
SW was stopped,https://nonimportscript.surge.sh/cache.json,resource,6254.499999999098,12.500000000727596,fetch,,6255.799999998999,0,0,6255.799999998999,6255.799999998999,6255.799999998999,6255.799999998999,6255.799999998999,0,6255.799999998999,6263.799999996991,6266.999999999825,0,31522,31522,
SW was awake,https://nonimportscript.surge.sh/cache.json,resource,6355.499999997846,12.69999999931315,fetch,,6356.700000000274,0,0,6356.700000000274,6356.700000000274,6356.700000000274,6356.700000000274,6356.700000000274,0,6356.700000000274,6364.999999997963,6368.1999999971595,0,31522,31522,
SW was stopped,https://nonimportscript.surge.sh/cache.json,resource,6373.099999997066,11.500000000523869,fetch,,6374.499999998079,0,0,6374.499999998079,6374.499999998079,6374.499999998079,6374.499999998079,6374.499999998079,0,6374.499999998079,6381.599999996979,6384.59999999759,0,31522,31522,
SW was awake,https://nonimportscript.surge.sh/cache.json,resource,6480.999999999767,12.800000000424916,fetch,,6482.499999998254,0,0,6482.499999998254,6482.499999998254,6482.499999998254,6482.499999998254,6482.499999998254,0,6482.499999998254,6490.799999999581,6493.800000000192,0,31522,31522,
SW was stopped,https://nonimportscript.surge.sh/cache.json,resource,6499.199999998382,12.200000001030276,fetch,,6500.700000000506,0,0,6500.700000000506,6500.700000000506,6500.700000000506,6500.700000000506,6500.700000000506,0,6500.700000000506,6507.999999997992,6511.399999999412,0,31522,31522,
SW was awake,https://nonimportscript.surge.sh/cache.json,resource,6602.100000000064,12.800000000424916,fetch,,6603.499999997439,0,0,6603.499999997439,6603.499999997439,6603.499999997439,6603.499999997439,6603.499999997439,0,6603.499999997439,6611.999999997352,6614.900000000489,0,31522,31522,
SW was stopped,https://nonimportscript.surge.sh/cache.json,resource,6618.999999998778,12.800000000424916,fetch,,6620.499999997264,0,0,6620.499999997264,6620.499999997264,6620.499999997264,6620.499999997264,6620.499999997264,0,6620.499999997264,6628.799999998591,6631.799999999203,0,31522,31522,
SW was awake,https://nonimportscript.surge.sh/cache.json,resource,6723.099999999249,12.599999998201383,fetch,,6724.39999999915,0,0,6724.39999999915,6724.39999999915,6724.39999999915,6724.39999999915,6724.39999999915,0,6724.39999999915,6732.5999999993655,6735.6999999974505,0,31522,31522,
SW was stopped,https://nonimportscript.surge.sh/cache.json,resource,6740.29999999766,11.300000001938315,fetch,,6741.699999998673,0,0,6741.699999998673,6741.699999998673,6741.699999998673,6741.699999998673,6741.699999998673,0,6741.699999998673,6748.29999999929,6751.599999999598,0,31522,31522,
